"","Sample","Subsample","Length","Width"
"1","BU_22_A001","BU_22_A001-1_A.jpg",0.683,0.252
"2","BU_22_A001","BU_22_A001-1_A.jpg",1.049,0.187
"3","BU_22_A001","BU_22_A001-1_A.jpg",0.703,0.156
"4","BU_22_A001","BU_22_A001-1_A.jpg",0.69,0.148
"5","BU_22_A001","BU_22_A001-1_A.jpg",0.841,0.275
"6","BU_22_A001","BU_22_A001-1_A.jpg",0.846,0.191
"7","BU_22_A001","BU_22_A001-1_A.jpg",0.675,0.153
"8","BU_22_A001","BU_22_A001-1_A.jpg",0.651,0.132
"9","BU_22_A001","BU_22_A001-1_A.jpg",0.447,0.138
"10","BU_22_A001","BU_22_A001-1_A.jpg",0.837,0.204
"11","BU_22_A001","BU_22_A001-1_A.jpg",0.98,0.183
"12","BU_22_A001","BU_22_A001-1_A.jpg",0.535,0.142
"13","BU_22_A001","BU_22_A001-1_A.jpg",0.862,0.165
"14","BU_22_A001","BU_22_A001-1_B.jpg",1.318,0.227
"15","BU_22_A001","BU_22_A001-1_B.jpg",1.032,0.218
"16","BU_22_A001","BU_22_A001-1_B.jpg",0.582,0.127
"17","BU_22_A001","BU_22_A001-1_B.jpg",0.716,0.174
"18","BU_22_A001","BU_22_A001-1_B.jpg",0.902,0.245
"19","BU_22_A001","BU_22_A001-1_B.jpg",0.866,0.134
"20","BU_22_A001","BU_22_A001-1_B.jpg",0.704,0.173
"21","BU_22_A001","BU_22_A001-1_B.jpg",0.588,0.15
"22","BU_22_A001","BU_22_A001-1_B.jpg",0.85,0.179
"23","BU_22_A001","BU_22_A001-1_B.jpg",0.975,0.222
"24","BU_22_A001","BU_22_A001-1_B.jpg",0.757,0.243
"25","BU_22_A001","BU_22_A001-1_C.jpg",0.591,0.203
"26","BU_22_A001","BU_22_A001-1_C.jpg",0.818,0.232
"27","BU_22_A001","BU_22_A001-1_C.jpg",0.673,0.164
"28","BU_22_A001","BU_22_A001-1_C.jpg",0.728,0.198
"29","BU_22_A001","BU_22_A001-1_C.jpg",0.626,0.161
"30","BU_22_A001","BU_22_A001-1_C.jpg",0.68,0.124
"31","BU_22_A001","BU_22_A001-1_C.jpg",0.909,0.204
"32","BU_22_A001","BU_22_A001-1_C.jpg",0.587,0.134
"33","BU_22_A001","BU_22_A001-1_C.jpg",0.883,0.201
"34","BU_22_A001","BU_22_A001-1_D.jpg",0.708,0.183
"35","BU_22_A001","BU_22_A001-1_D.jpg",0.282,0.172
"36","BU_22_A001","BU_22_A001-1_D.jpg",0.856,0.257
"37","BU_22_A001","BU_22_A001-1_D.jpg",1.031,0.165
"38","BU_22_A001","BU_22_A001-1_D.jpg",0.424,0.166
"39","BU_22_A001","BU_22_A001-1_D.jpg",0.549,0.139
"40","BU_22_A001","BU_22_A001-1_D.jpg",0.758,0.143
"41","BU_22_A001","BU_22_A001-1_D.jpg",0.506,0.163
"42","BU_22_A001","BU_22_A001-2_A.jpg",0.833,0.155
"43","BU_22_A001","BU_22_A001-2_A.jpg",0.813,0.181
"44","BU_22_A001","BU_22_A001-2_A.jpg",0.754,0.23
"45","BU_22_A001","BU_22_A001-2_A.jpg",0.63,0.216
"46","BU_22_A001","BU_22_A001-2_A.jpg",0.637,0.183
"47","BU_22_A001","BU_22_A001-2_B.jpg",0.602,0.189
"48","BU_22_A001","BU_22_A001-2_B.jpg",0.81,0.167
"49","BU_22_A001","BU_22_A001-2_B.jpg",0.823,0.119
"50","BU_22_A001","BU_22_A001-2_B.jpg",0.562,0.213
"51","BU_22_A001","BU_22_A001-2_B.jpg",0.52,0.139
"52","BU_22_A001","BU_22_A001-2_B.jpg",0.457,0.157
"53","BU_22_A001","BU_22_A001-2_B.jpg",0.503,0.221
"54","BU_22_A001","BU_22_A001-2_C.jpg",0.673,0.189
"55","BU_22_A001","BU_22_A001-2_C.jpg",0.563,0.157
"56","BU_22_A001","BU_22_A001-2_C.jpg",0.654,0.245
"57","BU_22_A001","BU_22_A001-2_C.jpg",0.673,0.204
"58","BU_22_A001","BU_22_A001-2_D.jpg",0.722,0.256
"59","BU_22_A001","BU_22_A001-2_D.jpg",0.417,0.194
"60","BU_22_A001","BU_22_A001-2_D.jpg",0.623,0.148
"61","BU_22_A001","BU_22_A001-2_D.jpg",0.533,0.146
"62","BU_22_A001","BU_22_A001-2_D.jpg",0.863,0.163
"63","BU_22_A001","BU_22_A001-2_D.jpg",0.556,0.148
"64","BU_22_A001","BU_22_A001-3_A.jpg",0.764,0.182
"65","BU_22_A001","BU_22_A001-3_A.jpg",0.647,0.171
"66","BU_22_A001","BU_22_A001-3_A.jpg",0.607,0.153
"67","BU_22_A001","BU_22_A001-3_A.jpg",0.564,0.172
"68","BU_22_A001","BU_22_A001-3_B.jpg",0.784,0.17
"69","BU_22_A001","BU_22_A001-3_C.jpg",0.675,0.175
"70","BU_22_A001","BU_22_A001-3_C.jpg",1.068,0.351
"71","BU_22_A001","BU_22_A001-3_C.jpg",0.526,0.175
"72","BU_22_A001","BU_22_A001-3_D.jpg",0.78,0.149
"73","BU_22_A001","BU_22_A001-3_D.jpg",0.655,0.168
"74","BU_22_A001","BU_22_A001-3_D.jpg",0.689,0.144
"75","BU_22_A018","BU_22_A018-1_A.jpg",0.552,0.187
"76","BU_22_A018","BU_22_A018-1_B.jpg",0.578,0.158
"77","BU_22_A018","BU_22_A018-1_C.jpg",0.449,0.133
"78","BU_22_A018","BU_22_A018-1_C.jpg",0.594,0.135
"79","BU_22_A018","BU_22_A018-1_C.jpg",0.783,0.183
"80","BU_22_A018","BU_22_A018-1_C.jpg",0.597,0.155
"81","BU_22_A018","BU_22_A018-1_C.jpg",0.554,0.175
"82","BU_22_A018","BU_22_A018-1_D.jpg",0.568,0.203
"83","BU_22_A018","BU_22_A018-1_D.jpg",0.498,0.146
"84","BU_22_A018","BU_22_A018-1_D.jpg",0.396,0.144
"85","BU_22_A018","BU_22_A018-2_A.jpg",0.677,0.152
"86","BU_22_A018","BU_22_A018-2_A.jpg",0.63,0.17
"87","BU_22_A018","BU_22_A018-2_A.jpg",0.661,0.235
"88","BU_22_A018","BU_22_A018-2_A.jpg",0.478,0.217
"89","BU_22_A018","BU_22_A018-2_B.jpg",0.734,0.176
"90","BU_22_A018","BU_22_A018-2_B.jpg",0.616,0.195
"91","BU_22_A018","BU_22_A018-2_B.jpg",0.508,0.132
"92","BU_22_A018","BU_22_A018-2_B.jpg",0.495,0.153
"93","BU_22_A018","BU_22_A018-2_B.jpg",0.282,0.151
"94","BU_22_A018","BU_22_A018-2_B.jpg",0.523,0.157
"95","BU_22_A018","BU_22_A018-2_C.jpg",0.8,0.202
"96","BU_22_A018","BU_22_A018-2_C.jpg",0.862,0.179
"97","BU_22_A018","BU_22_A018-2_C.jpg",0.637,0.155
"98","BU_22_A018","BU_22_A018-2_C.jpg",0.47,0.148
"99","BU_22_A018","BU_22_A018-2_C.jpg",0.601,0.168
"100","BU_22_A018","BU_22_A018-2_C.jpg",0.552,0.167
"101","BU_22_A018","BU_22_A018-2_C.jpg",0.711,0.08
"102","BU_22_A018","BU_22_A018-2_C.jpg",0.358,0.216
"103","BU_22_A018","BU_22_A018-2_C.jpg",0.778,0.151
"104","BU_22_A018","BU_22_A018-2_C.jpg",0.434,0.146
"105","BU_22_A018","BU_22_A018-2_D.jpg",0.694,0.168
"106","BU_22_A018","BU_22_A018-2_D.jpg",0.772,0.168
"107","BU_22_A018","BU_22_A018-2_D.jpg",0.398,0.213
"108","BU_22_A018","BU_22_A018-3_A.jpg",0.955,0.29
"109","BU_22_A018","BU_22_A018-3_A.jpg",0.484,0.216
"110","BU_22_A018","BU_22_A018-3_A.jpg",0.596,0.174
"111","BU_22_A018","BU_22_A018-3_A.jpg",0.648,0.165
"112","BU_22_A018","BU_22_A018-3_A.jpg",0.293,0.196
"113","BU_22_A018","BU_22_A018-3_B.jpg",0.634,0.167
"114","BU_22_A018","BU_22_A018-3_B.jpg",0.856,0.216
"115","BU_22_A018","BU_22_A018-3_B.jpg",0.529,0.225
"116","BU_22_A018","BU_22_A018-3_B.jpg",0.735,0.209
"117","BU_22_A018","BU_22_A018-3_B.jpg",0.6,0.157
"118","BU_22_A018","BU_22_A018-3_B.jpg",0.594,0.238
"119","BU_22_A018","BU_22_A018-3_C.jpg",0.735,0.16
"120","BU_22_A018","BU_22_A018-3_C.jpg",0.347,0.139
"121","BU_22_A018","BU_22_A018-3_C.jpg",0.651,0.222
"122","BU_22_A018","BU_22_A018-3_C.jpg",0.435,0.148
"123","BU_22_A018","BU_22_A018-3_D.jpg",0.581,0.141
"124","BU_22_A018","BU_22_A018-3_D.jpg",1.185,0.218
"125","BU_22_A018","BU_22_A018-3_D.jpg",0.77,0.148
"126","BU_22_A018","BU_22_A018-3_D.jpg",1.042,0.116
"127","BU_22_A018","BU_22_A018-3_D.jpg",0.645,0.142
"128","BU_22_A018","BU_22_A018-3_D.jpg",1.006,0.268
"129","BU_22_A018","BU_22_A018-3_D.jpg",0.539,0.166
"130","BU_22_A018","BU_22_A018-4_A.jpg",0.944,0.274
"131","BU_22_A018","BU_22_A018-4_A.jpg",1.588,0.322
"132","BU_22_A018","BU_22_A018-4_A.jpg",0.607,0.256
"133","BU_22_A018","BU_22_A018-4_B.jpg",0.532,0.208
"134","BU_22_A018","BU_22_A018-4_B.jpg",0.417,0.187
"135","BU_22_A018","BU_22_A018-4_B.jpg",0.592,0.175
"136","BU_22_A018","BU_22_A018-4_B.jpg",0.396,0.144
"137","BU_22_A018","BU_22_A018-4_B.jpg",0.429,0.195
"138","BU_22_A018","BU_22_A018-4_C.jpg",0.561,0.191
"139","BU_22_A018","BU_22_A018-4_C.jpg",0.372,0.127
"140","BU_22_A018","BU_22_A018-4_D.jpg",0.724,0.209
"141","BU_22_A018","BU_22_A018-4_D.jpg",0.546,0.204
"142","BU_22_A018","BU_22_A018-4_D.jpg",0.815,0.32
"143","BU_22_A018","BU_22_A018-4_D.jpg",0.803,0.183
"144","BU_22_A018","BU_22_A018-4_D.jpg",0.332,0.173
"145","BU_22_A018","BU_22_A018-5_A.jpg",0.931,0.137
"146","BU_22_A018","BU_22_A018-5_A.jpg",0.813,0.344
"147","BU_22_A018","BU_22_A018-5_A.jpg",0.684,0.174
"148","BU_22_A018","BU_22_A018-5_B.jpg",0.564,0.223
"149","BU_22_A018","BU_22_A018-5_B.jpg",0.546,0.233
"150","BU_22_A018","BU_22_A018-5_B.jpg",0.596,0.138
"151","BU_22_A018","BU_22_A018-5_B.jpg",0.547,0.153
"152","BU_22_A018","BU_22_A018-5_B.jpg",0.546,0.206
"153","BU_22_A018","BU_22_A018-5_C.jpg",0.769,0.177
"154","BU_22_A018","BU_22_A018-5_C.jpg",1.602,0.213
"155","BU_22_A018","BU_22_A018-5_C.jpg",0.72,0.3
"156","BU_22_A018","BU_22_A018-5_C.jpg",0.492,0.117
"157","BU_22_A018","BU_22_A018-5_C.jpg",0.651,0.2
"158","BU_22_A018","BU_22_A018-5_C.jpg",0.434,0.159
"159","BU_22_A018","BU_22_A018-5_C.jpg",0.57,0.187
"160","BU_22_A018","BU_22_A018-5_C.jpg",0.649,0.186
"161","BU_22_A018","BU_22_A018-5_D.jpg",0.871,0.252
"162","BU_22_A018","BU_22_A018-5_D.jpg",0.64,0.286
"163","BU_22_A018","BU_22_A018-5_D.jpg",0.879,0.22
"164","BU_22_A018","BU_22_A018-5_D.jpg",0.582,0.148
"165","BU_22_A018","BU_22_A018-5_D.jpg",0.713,0.185
"166","BU_22_A018","BU_22_A018-5_D.jpg",0.515,0.181
"167","BU_22_A018","BU_22_A018-5_D.jpg",0.903,0.191
"168","BU_22_A018","BU_22_A018-6_A.jpg",0.974,0.166
"169","BU_22_A018","BU_22_A018-6_A.jpg",0.821,0.17
"170","BU_22_A018","BU_22_A018-6_A.jpg",0.436,0.169
"171","BU_22_A018","BU_22_A018-6_A.jpg",0.496,0.153
"172","BU_22_A018","BU_22_A018-6_A.jpg",0.584,0.164
"173","BU_22_A018","BU_22_A018-6_A.jpg",1.209,0.29
"174","BU_22_A018","BU_22_A018-6_B.jpg",0.479,0.153
"175","BU_22_A018","BU_22_A018-6_B.jpg",0.775,0.178
"176","BU_22_A018","BU_22_A018-6_B.jpg",0.545,0.153
"177","BU_22_A018","BU_22_A018-6_B.jpg",0.393,0.148
"178","BU_22_A018","BU_22_A018-6_B.jpg",0.83,0.304
"179","BU_22_A018","BU_22_A018-6_C.jpg",1.018,0.234
"180","BU_22_A018","BU_22_A018-6_C.jpg",0.751,0.245
"181","BU_22_A018","BU_22_A018-6_C.jpg",0.596,0.165
"182","BU_22_A018","BU_22_A018-6_C.jpg",0.659,0.126
"183","BU_22_A018","BU_22_A018-6_C.jpg",0.624,0.191
"184","BU_22_A018","BU_22_A018-6_D.jpg",0.728,0.179
"185","BU_22_A018","BU_22_A018-6_D.jpg",0.593,0.169
"186","BU_22_A018","BU_22_A018-6_D.jpg",1.022,0.21
"187","BU_22_A018","BU_22_A018-6_D.jpg",0.75,0.233
"188","BU_22_A018","BU_22_A018-6_D.jpg",0.751,0.193
"189","BU_22_A033","BU_22_A033-1_A.jpg",0.64,0.135
"190","BU_22_A033","BU_22_A033-1_A.jpg",0.521,0.126
"191","BU_22_A033","BU_22_A033-1_A.jpg",1.152,0.276
"192","BU_22_A033","BU_22_A033-1_A.jpg",0.381,0.17
"193","BU_22_A033","BU_22_A033-1_B.jpg",0.804,0.2
"194","BU_22_A033","BU_22_A033-1_B.jpg",0.639,0.175
"195","BU_22_A033","BU_22_A033-1_B.jpg",0.663,0.175
"196","BU_22_A033","BU_22_A033-1_B.jpg",0.396,0.13
"197","BU_22_A033","BU_22_A033-1_C.jpg",0.823,0.135
"198","BU_22_A033","BU_22_A033-1_C.jpg",0.809,0.207
"199","BU_22_A033","BU_22_A033-1_C.jpg",0.696,0.136
"200","BU_22_A033","BU_22_A033-1_D.jpg",0.452,0.126
"201","BU_22_A033","BU_22_A033-1_D.jpg",1.207,0.188
"202","BU_22_A033","BU_22_A033-1_D.jpg",0.77,0.174
"203","BU_22_A033","BU_22_A033-1_D.jpg",0.764,0.222
"204","BU_22_A033","BU_22_A033-1_D.jpg",1.009,0.196
"205","BU_22_A033","BU_22_A033-1_D.jpg",0.488,0.175
"206","BU_22_A033","BU_22_A033-1_D.jpg",1.065,0.148
"207","BU_22_A033","BU_22_A033-2_A.jpg",0.868,0.216
"208","BU_22_A033","BU_22_A033-2_A.jpg",1.724,0.259
"209","BU_22_A033","BU_22_A033-2_A.jpg",1.075,0.194
"210","BU_22_A033","BU_22_A033-2_A.jpg",0.799,0.258
"211","BU_22_A033","BU_22_A033-2_A.jpg",0.612,0.176
"212","BU_22_A033","BU_22_A033-2_B.jpg",0.994,0.223
"213","BU_22_A033","BU_22_A033-2_B.jpg",0.715,0.181
"214","BU_22_A033","BU_22_A033-2_B.jpg",0.64,0.196
"215","BU_22_A033","BU_22_A033-2_B.jpg",0.578,0.186
"216","BU_22_A033","BU_22_A033-2_C.jpg",0.733,0.234
"217","BU_22_A033","BU_22_A033-2_C.jpg",1.19,0.203
"218","BU_22_A033","BU_22_A033-2_C.jpg",1.26,0.203
"219","BU_22_A033","BU_22_A033-2_C.jpg",0.818,0.179
"220","BU_22_A033","BU_22_A033-2_C.jpg",0.495,0.239
"221","BU_22_A033","BU_22_A033-2_C.jpg",0.833,0.197
"222","BU_22_A033","BU_22_A033-2_D.jpg",0.573,0.173
"223","BU_22_A033","BU_22_A033-2_D.jpg",0.927,0.119
"224","BU_22_A033","BU_22_A033-2_D.jpg",0.804,0.178
"225","BU_22_A033","BU_22_A033-2_D.jpg",0.54,0.172
"226","BU_22_A033","BU_22_A033-2_D.jpg",0.46,0.179
"227","BU_22_A033","BU_22_A033-3_A.jpg",0.654,0.206
"228","BU_22_A033","BU_22_A033-3_A.jpg",0.397,0.166
"229","BU_22_A033","BU_22_A033-3_B.jpg",0.591,0.187
"230","BU_22_A033","BU_22_A033-3_B.jpg",0.617,0.137
"231","BU_22_A033","BU_22_A033-3_B.jpg",0.462,0.155
"232","BU_22_A033","BU_22_A033-3_B.jpg",0.702,0.149
"233","BU_22_A033","BU_22_A033-3_C.jpg",0.686,0.183
"234","BU_22_A033","BU_22_A033-3_C.jpg",0.757,0.161
"235","BU_22_A033","BU_22_A033-3_C.jpg",0.751,0.239
"236","BU_22_A033","BU_22_A033-3_C.jpg",0.345,0.151
"237","BU_22_A033","BU_22_A033-3_D.jpg",0.76,0.183
"238","BU_22_A033","BU_22_A033-3_D.jpg",0.915,0.231
